date,text,Subjectivity,Polarity,Analysis
2020-10-12,"tesla inc said on tuesday it cut the price of its model s ""long range"" sedan by 4% in the united states, days after the electric-car maker reported record quarterly deliveries.",0.4,-0.05,Negative
2020-10-12,"tesla inc said on tuesday it has cut the price of its model s ""long range"" sedan by 4% in the united states, days after the electric-car maker reported record quarterly deliveries.",0.4,-0.05,Negative
2020-10-10,"south korea's lg chem ltd, an electric vehicle (ev) battery supplier for tesla and a petrochemicals maker, said on monday its third-quarter operating profit likely jumped to a record high, beating analysts' estimates.",0.77,0.08,Positive
2020-10-07,"(this oct 7 story corrects paragraph 4 to say 10,000 cars, not 100 cars)",0.0,0.0,Neutral
2020-10-06,"tesla inc  chief executive elon musk said on wednesday the company will produce model y with a new structural battery design and technology at its berlin factory next year and that could result in a ""significant production risk"".",0.4431818181818182,0.17045454545454544,Positive
2020-10-06,"tesla inc  has a chance at producing 500,000 cars this year, chief executive officer elon musk told employees, according to an internal email seen by reuters.",0.0,0.0,Neutral
2020-10-06,"tesla inc has a chance at producing 500,000 cars this year, chief executive officer elon musk told employees, according to an internal mail viewed by reuters.",0.0,0.0,Neutral
2020-10-05,"tesla inc  is in talks with bhp group  about a nickel supply deal as the electric-car maker targets higher production and seeks to avoid a supply crunch, bloomberg news reported on tuesday, citing people familiar with the matter.",0.5,0.3125,Positive
2020-10-05,tesla's  upcoming quarterly report could put another $3 billion (£2.32 billion) in chief executive elon musk's pocket.,0.0,0.0,Neutral
2020-10-05,"tesla inc has dissolved its media relations team in the united states, news website electrek reported on tuesday, in yet another unconventional move by the world's most valuable automaker.",0.5,0.5,Positive
2020-10-04,"indonesia's government is in early discussions with electric vehicles maker tesla inc  about a potential investment in the southeast asia country, a major producer of nickel, an official said.",0.6,0.05416666666666667,Positive
2020-10-02,(this october 2 story officially corrects to remove reference to base metals in 10th para to clarify $2 bln investment is across whole company),0.7,-0.30000000000000004,Negative
2020-10-01,"tesla inc  has agreed to acquire german atw automation, a supplier assembling battery modules and packs for the auto industry, a source familiar with the transaction said on friday.",0.25,0.1875,Positive
2020-10-01,"tesla inc has agreed to acquire german atw automation, a supplier assembling battery modules and packs for the auto industry, a source familiar with the transaction said on friday.",0.25,0.1875,Positive
2020-10-01,"tesla inc  on friday said it delivered 139,300 vehicles in the third quarter, a quarterly record for the electric carmaker, but shares fell 5.7% in pre-market trading.",0.0,0.0,Neutral
